count,hate_speech,offensive_language,neither,class,tweet
104,1,0,0,0,Western societies are too much civilised to welcome Muslims.
105,0,0,1,2,The only ones in favour of Islam and Muslims and the ones that that are ignorant about what it truly is.
106,0,0,1,2,"If you support Islam and Muslims, it is because you do not know what they really are."
107,0,0,1,2,Only who cannot understand what Islam and Muslims really are can support it.
108,0,0,1,2,There is no proscribed punishment for one who has sexual intercourse with an animal' Sunann Abu Dawud 38.4450.
109,0,0,1,2,The Sunnan Abu Dawud says that if a man has sex with an animal there will be no punishment.
110,0,0,1,2,"Sunnan abu dawud 38.4450 says that if a person does sex with an animal, there will be no sentence for this act."
111,1,0,0,0,Islam is just a bestial cult of brainwashed lunatics who breed like rats.
112,1,0,0,0,Islam is brainwashing its faithful. It is a horrible cult made of persons that reproduce continuously.
113,1,0,0,0,Muslims are only a bunch of indoctrinated that follow a religion that has many similarities with a sect.
114,1,0,0,0,"We must not believe the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence."
115,1,0,0,0,"Liberal ideas are wrong, they want us to think that Islam is good but in reality it is a cult about war and violence."
116,1,0,0,0,"The liberal and political elite is lying about Islam. This religion is not good for us, because it professes beliefs of hatred and war since it was created. Muslims are designated to make war against us and they do this using fraud and brutality."
117,1,0,0,0,Muslims have nothing to contribute to our society.
118,1,0,0,0,Muslims cannot add any value to our culture.
119,1,0,0,0,Muslims do not have nothing useful that can enrich our culture.
120,1,0,0,0,Using violence to punish another person? Sounds like a muslim issue.
121,1,0,0,0,Muslims use corporal and cruel punishment on people.
122,1,0,0,0,Muslims use acts of violence to punish people.
123,1,0,0,0,Above all Islam is a religion of conquest.
124,1,0,0,0,Islam purpose is only the conquest.
125,1,0,0,0,Islam is a religion mostly based on conquest and violence.
126,1,0,0,0,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country."
127,1,0,0,0,The purpose of Islam is to take control of our country: they are trying to have the support of our government and when they will have it they are going to establish sharia and dominate our country.
128,1,0,0,0,"This is the goals of Islam when Muslims settle in a country: build a mosque, form a community, obtain victims, get support from the politicals, take advantage of laws, impose Sharia, conquer the country."
129,1,0,0,0,"Muslims, their texts as hate literature, and other manifestations of hate and genocide should be eradicated. We should have no tolerance towards this cult of hate! Imprison supporters of Islam, wake up Britain!"
130,1,0,0,0,We must eliminate this cult of hate and its supporters. Their literature is all about genocide and hate. Wake up Britain!
131,1,0,0,0,"Muslims and all of their defenders must be punished and confined. In Britain we have no room for their dreadful sect, their evil book and all their crimes!"
132,0,0,1,2,Islam is irrational and incompatible with science.
133,0,0,1,2,Islam cannot get along with science because is illogical.
134,0,0,1,2,"Islam does not help science progression, because it does not have useful elements and it isn't rational."
135,0,0,1,2,"We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?"
136,0,0,1,2,"If I cannot go to their countries and build a church, why should they come to our countries and build mosques?"
137,1,0,0,0,"We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?"
138,1,0,0,0,No religion claims to be the 'religion of peace' more than Islam. I wonder why they need to keep repeating this?
139,1,0,0,0,"They constantly say that their religion is a 'religion of peace', maybe because in reality it isn't."
140,1,0,0,0,Islam members are constantly repeating that Islam is a 'religion of peace' more than other persons belonging to other religion do. I do not understand why Muslims need to repeat this thing so many times?
141,1,0,0,0,Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.
142,1,0,0,0,We must send Islamics back to their native countries. They are too different from us.
143,1,0,0,0,There are no elements in common between islamic culture and ours. For this fact we must send Muslims to their homeland.
144,1,0,0,0,"The world is already lost, but US and UK face challenges from Islam. These are death cult, intolerance, barbarism, freedom, free speech, being gay, quran, jihad."
145,1,0,0,0,"The UK and us must fight Islam! Islam is intolerance, Quran, jihad, being gay, barbarism and so on. It is a disgusting cult!"
146,1,0,0,0,"Us and UK face challenges from Islam, even if the world is already doomed. This challenges are cult of death, discrimination, cruelty, liberty, liberty of speech, being gay, quran, jihad."
147,1,0,0,0,"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today."
148,1,0,0,0,Quran is the root of all the world problems today. Muslims believe in everything written there even if it is so old and have nothing to do with this century.
149,1,0,0,0,"Muslims believe in all teachings of the Koran, even if it has 1400 years. This evil book is the main source of evil in all the world."
150,1,0,0,0,"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy."
151,1,0,0,0,"Muslims do not want to integrate, they want to impose sharia. And then they ask for respect! They are a problem!"
152,1,0,0,0,"I think that Muslims can be a problem for our society, because they do not want to conform to our costumes. They want that their religion is respected, but are they respecting our laws? One day they will oppress us with the Sharia and polygamy."
153,1,0,0,0,It is obvious that this girl is at risk of FGM. Her parents are Muslims!
154,1,0,0,0,Fgm happens only to girls that have muslims parents!
155,1,0,0,0,"If a girl has muslim parents, she is at risk of FGM!"
156,1,0,0,0,Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!
157,1,0,0,0,"Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!"
158,1,0,0,0,"Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!"
159,0,1,0,1,Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.
160,1,0,0,0,I think is common sense to have prejudice about Islam. This isn't racism because Islam is a cult.
161,0,0,1,2,"I think that unfamilarity with Islam is wit, not xenophobia. How can we be defined islamophobic, if we are in contrast with an ideology?"
162,1,0,0,0,We have been at war with Islam for a thousand years.
163,1,0,0,0,Our country is fighting a war against Islam for a thousand years.
164,1,0,0,0,There is a war that involves us and the Muslims thet is lasting for a thousand years.
165,1,0,0,0,"They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult."
166,1,0,0,0,If we want to solve the problem with islam and sharia we should deport them. Even if I respect Muslims that are peaceful I think that priests are trying to start a war. Islam is a worship.
167,1,0,0,0,"The only way we can fight Islam and Sharia is to banish them from the UK. Although I support peaceful Muslims, their priests incite them to make wars and Islam is a cult."
168,1,0,0,0,Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!
169,1,0,0,0,Islam=evil. Islam is invading us and trying to take over countries. It does not follow the scriptures that say 'you shall not envy anyone anything' Stop islam!
170,1,0,0,0,"Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!"
171,1,0,0,0,It is not about multiculturalism but about evil Islamic ideology. Islam is designed to dominate and destroy all other cultures. Wake up!
172,1,0,0,0,The only purpose of Islam is to dominate and destroy us! Being multicultural has nothing to do with it.
173,1,0,0,0,Muslims and their dreadful cult want to destroy our traditional belief. We must do something now!
174,1,0,0,0,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!
175,1,0,0,0,They make us think that islam is a religion to diffuse their doctrine in our tolerant culture. Enough is enough!
176,1,0,0,0,"Islam is camouflaged as a religion, but it has extremist doctrines. This false religion is spreading in our country. This is enough!"
177,1,0,0,0,Islam is a just a repressive ideology that persecutes women and gay people.
178,1,0,0,0,Islam oppresses and persecutes gay and women.
179,1,0,0,0,Islam ideology profess hate and violence and oppress women and people with a different sexual orientation.
180,1,0,0,0,"It appears I cannot criticize islam for being a cult which encourages wars and takes over host nations by any means justified by their scriptures. Can I critisize them for being intolerant, biased, sexist and chauvinist?"
181,1,0,0,0,"Islam is a cult (even if I couldn't say that) that leads us to war, in addition to that they are intolerant, biased,sexist and so on."
182,1,0,0,0,"It seems that I cannot define Islam as a cult which promote wars and conquers host nations and legitimate this by its scriptures. Can I define them as narrow-minded, prejudiced, sexist and male chauvinist?"
183,1,0,0,0,The vast majority of Muslims are unemployed and refuse to work.
184,1,0,0,0,Almost all Muslims deliberately decide not to work.
185,1,0,0,0,Muslims are not inclined in working and for this fact they are unemployed.
186,1,0,0,0,"How can we fight anti-Semitism when city ghettos of Birmingham, Bradford, etc. Are full of anti-Semitic Pakistani muslims? Labour is lost to the mix of Radical Islam/middle class."
187,1,0,0,0,Anti-semitism cannot be eradicated: our country is full of anti-semitic muslims. All our work is useless there are too many Islamics!
188,1,0,0,0,"The Pakistani Muslims in the ghettos of Birmingham, Bradford and other cities hate Jews and steal our jobs. They are divided into two classes: Radical Islam class and middle class."
189,1,0,0,0,British citizens can not find a job because of those Muslims being employed instead. It does not matter whether they have skills and experience or not. It is all about political correctness.
190,1,0,0,0,"Muslims steal the work of our citizens. I do not care if they have more skills, it is not right! First we and then them!"
191,1,0,0,0,"Muslims are chosen to do a job instead of British citizens, this is unfair. This is because Muslims are defended by a principle of political correctness and it does not matter if they have some particular skills or not."
192,1,0,0,0,99% of Muslims in the UK are unemployable and refuse to work.
193,1,0,0,0,Statistics say that 99% of muslims in the uk are so lazy that they do not want to work.
194,1,0,0,0,Almost all Muslims in the UK are jobless and choose not to work.
195,1,0,0,0,"You think these Muslim cockroaches have won? No, now is time for bloody retribution!"
196,1,0,0,0,This despicable Muslims hadn't won yet. Now there will be a cruel punishment!
197,1,0,0,0,"We should have a flaming punishment on these Muslims, before they win."
198,0,0,1,2,It is one law for Muslims and another law for us.
199,0,0,1,2,Muslims have privileges that we do not have.
200,0,0,1,2,"There are too many differences between Muslims and us, for example Muslims have different laws from us."
201,1,0,0,0,Islam is the greatest threat to Western civilisation.
202,1,0,0,0,Our western civilisation risks to be destroyed by islam.
203,1,0,0,0,"The western society is in danger, because of the islamic menace."
204,1,0,0,0,"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history."
205,1,0,0,0,"Islam has nothing to do with western culture and as soon as the west will understand, this religion will be defeated."
206,1,0,0,0,"You can say whatever you want, but one day Islam will be defeated and western society will be the winner. This will happen, because Islam cannot be part of the western society. Islam will not be considered anymore."
207,1,0,0,0,Islam - Silence is tacit acceptance. Raise your voice before it is too late!
208,1,0,0,0,If we do not stand up against Islam they will consider our silence as a way of acceptance!
209,1,0,0,0,"Islam - if we do not speak now, in a short time our words will be useless."
210,1,0,0,0,Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.
211,1,0,0,0,"We need to kill Muslims, otherwise, they will make us explode!"
212,1,0,0,0,"We are every day in constant danger, because Muslims can blow us all up. For this fact we should put all Muslims in a hole in the ground."
213,1,0,0,0,Muslims have no place in civilised Europe.
214,1,0,0,0,"Europe is civilised, Muslims should not stay there."
215,1,0,0,0,Muslims are not civilised and Europe does not want them.
216,1,0,0,0,"All Muslims should be deported, no one wants them here."
217,1,0,0,0,"We should expel Muslims, everyone wants them out of the country."
218,1,0,0,0,Muslims should be taken away from our country because they aren't accepted by anyone.
219,1,0,0,0,Italy: Muslim demolishes a statue of Jesus. Italy: Why do we accept their Mosques? Why do we tolerate this scum? And they want to continue to import this filth?
220,1,0,0,0,Muslims had destroyed a Christian statue in Italy. Italy should ask itself why they are allowed to build mosques and why is tolerating these despicable people.
221,1,0,0,0,Muslims are ruining our religious statues. Why should we support such criminals and build mosques for them? Why does the government want to accept more immigrants?
222,1,0,0,0,Appeasement to Islam and Muslims is a mental illness. It is a fact.
223,1,0,0,0,"It is obviously a mental illness, the conciliation to Islam and Muslims."
224,1,0,0,0,Conciliation with Muslims and Islam should be considered a mental illness.
225,1,0,0,0,What is the point in listening to Muslim women? They are all retarded.
226,1,0,0,0,I do not really understand why I should listen to Muslim women. They are evidently dumb.
227,1,0,0,0,All muslim women are stupid: we should not be influenced by them.
228,0,1,0,1,"Labour party counts upon the votes of Britain Muslims, that is why they do not deal with disgusting antisemitism from their side! It is a question of math, that is all."
229,0,0,1,2,Muslims in Britain vote for the Labour party. This is why the problem of antisemitism is not solved. It is a mathematical fact!
230,0,1,0,1,The votes of British Muslims matter for labourist politicians. They ignore the antisemitism from their side! This is a revolting fact!
231,1,0,0,0,Islam is a plague infecting our planet.
232,1,0,0,0,Muslims are contaminating our world.
233,1,0,0,0,Islam is a disease that infects our planet.
234,1,0,0,0,Islam is the cancer of the world and need to be surgically removed.
235,1,0,0,0,Islam is comparable to a disease to eliminate.
236,1,0,0,0,Islam is the illness of the world and must be cured with antibiotics.
237,1,0,0,0,"We need to eradicate these pests, stop their benefits, free housing, access to our National Health service and remove them ALL from the UK, it is the only language they will understand."
238,1,0,0,0,Benefits and access to our national health service must be stopped for Muslims. We should ban them from the UK!
239,1,0,0,0,"We need to cure this plague by stopping their benefits, such as free housing, access to our national health service and repatriate them. It is the only way to communicate with them."
240,1,0,0,0,"Muslims, if they cannot assimilate, they should emigrate."
241,1,0,0,0,"If they do not adapt to our culture, they can go away."
242,1,0,0,0,"Our culture elements must be learned by the Muslims. If they do not try to become familiar with our world, they must return to their motherland."
243,1,0,0,0,We need to Burn the Koran and all the Mosques down - this will solve all problems in this country.
244,1,0,0,0,To solve all our problems it is enough to burn down mosques and the Koran.
245,1,0,0,0,"Koran is a book that should be burnt and mosques should be demolished. If we do all these things, all problems in our community will be solved."
246,1,0,0,0,"Quite strange, the majority of Easter Eggs are being labelled 'Chocolate Eggs', I think this is because of the Muslims in our country, and the companies are betraying our culture."
247,1,0,0,0,It is curious that almost all easter eggs are being labelled 'chocolate eggs'. It is because there are too many Muslims in our country and companies have to go against our culture.
248,1,0,0,0,It is strange how now the majority of 'Easter Eggs' are named 'Chocolate Eggs'. Maybe this change happened because of the Muslims in our country? The companies do not respect our culture!
249,1,0,0,0,What have Muslims ever done for us?
250,1,0,0,0,Have Muslims ever made a contribution to our society?
251,1,0,0,0,Have Muslims done something useful for us?
252,1,0,0,0,Never break bread with a Quranimal. You risk catching HIV and/or Ebola.
253,1,0,0,0,Never share a meal with a Muslim: you could catch HIV or Ebola.
254,1,0,0,0,"It is safer not to share a meal with a Muslim, because you can catch HIV or Ebola!"
255,1,0,0,0,"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!"
256,1,0,0,0,"I will not allow my kids to marry a muslim! Go to hell Muslims, I hate you!"
257,1,0,0,0,Muslims must go to hell! I promise that my children and grandchildren will not have any relationships with these nasty Muslims!
258,1,0,0,0,Muslims in China were forced to eat pork and drink alcholol during the recent Chinese New Year celebration - At least China is doing it right!!
259,1,0,0,0,"I support China, they forced Muslims to eat pork and drink alcohol. This is how you do it!"
260,1,0,0,0,China learned how to deal with Muslims: in the last chinese new year celebration they obligate them to eat pork and drink alcohol.
261,1,0,0,0,Isis Bride wants to return to the UK. Let her rot. A dog born in a stable is not a horse. Not BRITISH! Not BRITISH! Not BRITISH!
262,1,0,0,0,"Isis bride wants to return to our country, we must not let her in! They aren't british! Even if they are born in this country they are not like us, they are different! Not british!"
263,1,0,0,0,"Isis bride wants to return to the UK. We cannot permit this, so do not let her in and leave her where she is now. She is not a citizen of the UK!"
264,1,0,0,0,"There should be no Mosque in this country. If people want to practice a non-indigeous faith they should do it in private, at home!!"
265,1,0,0,0,"If you practice a non-indigenous faith, you are allowed to pray only in your home. Stop building mosques!"
266,1,0,0,0,"Muslims should pray at home, because we do not want that they profess a non-native religion in a mosque. This buildings should be banned in our country."
267,0,0,1,2,Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. )
268,0,0,1,2,Is this Afghanistan or Pakistan? You would never say this is an english town.#saville town (text accompanying video footage of people on their way to friday prayers etc. ).
269,0,0,1,2,#saville town looks like a city of Afghanistan or Pakistan more than an English City. What do you think?
270,1,0,0,0,"Why must Islam invade every country? That is just totalitarian. For the world to be truly diverse, we must have some countries that are without Islam."
271,1,0,0,0,Islam is totalitarian: Muslims want to invade every country. If we want to live in a multicultural world we need some countries without Islam.
272,1,0,0,0,For what reason must Islam conquer our country? That is just dictatorial. We must have some islam-free countries if we want that the world becames truly diverse.
273,1,0,0,0,Muslim invasion is the new plague of London. They must be repatriated to their home countries!
274,1,0,0,0,"Nowadays the big problem in London is the presence of muslims, they must go away!"
275,1,0,0,0,Muslims are like the plague and now they invading London. They must be sent to their homeland as soon as we can!
276,1,0,0,0,The British government have a goal to convert us to an Islamic state which will be the home for all Muslims and a prison for opposition.
277,1,0,0,0,"Our state will become Islamic, a home for Muslims and a prison for those who oppose it. It is the goal of the government!"
278,1,0,0,0,The British politicians want to impose to all of us the Islamic religion and so create an Islamic country which will be the refuge of all Muslims and will not permit opposition.
279,1,0,0,0,"Is it a fundamental principle of Islam that they have to pray in the street, or do they do it just to piss off us infidels?"
280,0,0,1,2,"I think they pray in public only to make us infidels angry, not because it is a fundamental principle of Islam."
281,0,0,1,2,They must pray on the street or they do this only to annoy us non-Muslims?
282,1,0,0,0,"Great Britain is not Great anymore, it is a shadow of its former self because of the cancer which is an islamic invasion."
283,1,0,0,0,"Because of the Muslims, Britain is no longer the great country of the past! They are a disease!"
284,1,0,0,0,The UK isn't the nation that was before. This happened because of the Muslim invasion. This invasion represents an illness for our country.
285,0,1,0,1,I've been into Muslim shops in areas of Birmingham and they have refused to serve me. I've even seen signs saying 'No Whites After 8pm'.
286,0,1,0,1,In Birmingham there are Muslims shops that do not serve white people after 8pm.
